Date,Publisher,Campaign,Status,Average Position,Quality Score,Impressions,Clicks,Publication Cost (USD),Average Bid USD,Average CPC USD,Daily Budget USD,Application Starts,Application Submissions,New Account Conversions,Impression share,Non-Budget Impression Share Lost,Budget Impression Share Lost,Comments
01/29/14,Google,BA,Active,1.1,9.3,"3,544",445, $197.02 , $4.63 , $0.44 , $650.00 ,38,3,1,96.41%,3.59%,0.00%,
01/30/14,Google,BA,Active,1.2,9.3,"2,803",397, $111.18 , $4.84 , $0.28 , $650.00 ,18,9,4,94.66%,5.34%,0.00%,
01/31/14,Google,BA,Active,1.2,9.3,"2,112",213, $68.73 , $4.84 , $0.32 , $650.00 ,9,2,1,93.66%,6.34%,0.00%,
02/01/14,Google,BA,Active,1.2,9.2,"2,041",254, $124.83 , $6.25 , $0.49 , $650.00 ,15,3,0,95.73%,4.27%,0.00%,
02/02/14,Google,BA,Active,1.1,9.2,"2,440",278, $59.59 , $4.32 , $0.21 , $650.00 ,13,1,0,94.46%,5.54%,0.00%,
02/03/14,Google,BA,Active,1.1,9.3,"3,927",540, $183.72 , $5.16 , $0.34 , $650.00 ,12,1,0,95.55%,4.45%,0.00%,
02/04/14,Google,BA,Active,1.2,9.3,"3,958",551, $298.82 , $5.38 , $0.54 , $650.00 ,17,3,1,95.91%,4.09%,0.00%,
02/05/14,Google,BA,Active,1.1,9.3,"3,967",520, $194.65 , $5.32 , $0.37 , $650.00 ,15,3,0,96.31%,3.69%,0.00%,
02/06/14,Google,BA,Active,1.2,9.3,"3,890",494, $205.17 , $4.80 , $0.42 , $650.00 ,32,7,4,96.36%,3.64%,0.00%,
02/07/14,Google,BA,Active,1.1,9.3,"3,335",470, $142.87 , $5.01 , $0.30 , $650.00 ,20,7,1,96.17%,3.83%,0.00%,
02/08/14,Google,BA,Active,1.1,9.3,"2,489",348, $152.60 , $5.66 , $0.44 , $650.00 ,10,3,2,95.40%,4.60%,0.00%,
02/09/14,Google,BA,Active,1.1,9.3,"2,550",354, $166.21 , $5.67 , $0.47 , $650.00 ,19,3,3,95.83%,4.17%,0.00%,
02/10/14,Google,BA,Active,1.2,9.3,"4,264",535, $161.18 , $5.03 , $0.30 , $650.00 ,30,5,3,95.84%,4.16%,0.00%,
02/11/14,Google,BA,Active,1.1,9.2,"4,283",557, $162.66 , $4.17 , $0.29 , $650.00 ,37,2,2,95.31%,4.69%,0.00%,
02/12/14,Google,BA,Active,1.1,9.2,"4,036",518, $197.13 , $5.03 , $0.38 , $650.00 ,27,3,0,95.82%,4.18%,0.00%,
02/13/14,Google,BA,Active,1.1,9.2,"3,971",496, $174.27 , $5.02 , $0.35 , $650.00 ,25,4,2,95.64%,4.36%,0.00%,
02/14/14,Google,BA,Active,1.2,9.2,"3,358",407, $149.47 , $4.57 , $0.37 , $650.00 ,20,2,1,95.02%,4.98%,0.00%,
02/15/14,Google,BA,Active,1.1,9.2,"2,810",352, $138.12 , $4.71 , $0.39 , $650.00 ,24,3,1,95.90%,4.10%,0.00%,
02/16/14,Google,BA,Active,1.1,9.2,"2,841",381, $176.32 , $5.16 , $0.46 , $650.00 ,24,4,3,95.56%,4.44%,0.00%,
02/17/14,Google,BA,Active,1.1,9.2,"4,923",555, $135.31 , $5.58 , $0.24 , $650.00 ,26,5,2,95.76%,4.24%,0.00%,
02/18/14,Google,BA,Active,1.1,9.2,"4,567",529, $249.57 , $5.66 , $0.47 , $650.00 ,34,3,0,96.23%,3.77%,0.00%,
02/19/14,Google,BA,Active,1.1,9.2,"4,343",517, $201.61 , $5.84 , $0.39 , $650.00 ,42,4,3,96.60%,3.40%,0.00%,
02/20/14,Google,BA,Active,1.1,9.2,"4,141",468, $137.87 , $4.88 , $0.29 , $650.00 ,28,3,1,96.28%,3.72%,0.00%,
02/21/14,Google,BA,Active,1.1,9.3,"3,819",417, $155.74 , $5.42 , $0.37 , $650.00 ,15,4,1,96.93%,3.07%,0.00%,
02/22/14,Google,BA,Active,1.1,9.2,"2,755",355, $87.22 , $4.09 , $0.25 , $650.00 ,13,0,0,95.86%,4.14%,0.00%,
02/23/14,Google,BA,Active,1.2,9.3,"2,871",374, $136.06 , $4.41 , $0.36 , $650.00 ,20,4,2,95.41%,4.59%,0.00%,
02/24/14,Google,BA,Active,1.1,9.2,"4,167",502, $191.32 , $4.80 , $0.38 , $650.00 ,37,6,3,96.86%,3.14%,0.00%,
02/25/14,Google,BA,Active,1.2,9.3,"4,355",579, $208.42 , $4.76 , $0.36 , $650.00 ,30,4,2,95.93%,4.07%,0.00%,
02/26/14,Google,BA,Active,1.1,9.2,"4,337",577, $203.12 , $4.46 , $0.35 , $650.00 ,15,3,3,96.33%,3.67%,0.00%,
02/27/14,Google,BA,Active,1.2,9.2,"4,132",516, $228.61 , $4.82 , $0.44 , $650.00 ,56,4,2,95.87%,4.13%,0.00%,
02/28/14,Google,BA,Active,1.1,9.3,"4,085",540, $136.59 , $5.05 , $0.25 , $650.00 ,26,5,3,96.92%,3.08%,0.00%,
03/01/14,Google,BA,Active,1.1,9.2,"3,213",451, $208.70 , $5.66 , $0.46 , $650.00 ,28,5,2,96.49%,3.51%,0.00%,
03/02/14,Google,BA,Active,1.1,9.3,"3,308",451, $195.65 , $4.81 , $0.43 , $650.00 ,37,1,1,95.55%,4.45%,0.00%,
03/03/14,Google,BA,Active,1.1,9.3,"4,557",684, $177.46 , $4.60 , $0.26 , $650.00 ,34,4,3,96.04%,3.96%,0.00%,
03/04/14,Google,BA,Active,1.1,9.2,"4,283",553, $235.03 , $4.20 , $0.43 , $650.00 ,23,6,3,96.55%,3.45%,0.00%,
03/05/14,Google,BA,Active,1.2,9.2,"3,907",523, $163.20 , $4.15 , $0.31 , $650.00 ,31,2,0,95.67%,4.33%,0.00%,
03/06/14,Google,BA,Active,1.1,9.2,"3,696",467, $185.27 , $4.68 , $0.40 , $650.00 ,15,1,0,95.26%,4.74%,0.00%,
03/07/14,Google,BA,Active,1.2,9.2,"3,409",461, $306.03 , $5.14 , $0.66 , $650.00 ,24,4,2,95.36%,4.64%,0.00%,
03/08/14,Google,BA,Active,1.1,9.2,"2,464",349, $92.31 , $4.20 , $0.26 , $650.00 ,8,1,1,95.06%,4.94%,0.00%,
03/09/14,Google,BA,Active,1.2,9.2,"2,568",324, $225.31 , $4.86 , $0.70 , $650.00 ,19,6,2,95.25%,4.75%,0.00%,
03/10/14,Google,BA,Active,1.2,9.2,"3,683",526, $109.23 , $4.10 , $0.21 , $650.00 ,20,6,2,94.65%,5.35%,0.00%,
03/11/14,Google,BA,Active,1.2,9.2,"3,428",451, $284.11 , $5.52 , $0.63 , $650.00 ,11,1,0,94.44%,5.56%,0.00%,
03/12/14,Google,BA,Active,1.1,9.2,"3,344",508, $193.17 , $4.74 , $0.38 , $650.00 ,22,2,2,94.44%,5.56%,0.00%,
03/13/14,Google,BA,Active,1.1,9.2,"3,525",527, $133.71 , $4.22 , $0.25 , $650.00 ,17,1,0,94.50%,5.50%,0.00%,
03/14/14,Google,BA,Active,1.1,9.2,"3,163",520, $214.44 , $4.46 , $0.41 , $650.00 ,26,3,2,94.81%,5.19%,0.00%,
03/15/14,Google,BA,Active,1.1,9.1,"2,533",386, $145.68 , $5.26 , $0.38 , $650.00 ,23,5,3,95.48%,4.52%,0.00%,
03/16/14,Google,BA,Active,1.1,9.2,"2,585",432, $147.51 , $4.64 , $0.34 , $650.00 ,17,7,2,95.63%,4.37%,0.00%,
03/17/14,Google,BA,Active,1.1,9.2,"3,890",593, $257.82 , $5.02 , $0.43 , $650.00 ,34,2,1,95.39%,4.61%,0.00%,
03/18/14,Google,BA,Active,1.1,9.2,"3,457",496, $177.95 , $4.99 , $0.36 , $650.00 ,47,10,0,95.47%,4.53%,0.00%,
03/19/14,Google,BA,Active,1.1,9.2,"3,281",433, $156.94 , $4.50 , $0.36 , $650.00 ,31,4,0,95.10%,4.90%,0.00%,
03/20/14,Google,BA,Active,1.1,9.2,"3,229",488, $235.40 , $5.00 , $0.48 , $650.00 ,33,6,1,95.19%,4.81%,0.00%,
03/21/14,Google,BA,Active,1.1,9.2,"3,276",476, $200.69 , $4.76 , $0.42 , $650.00 ,28,2,0,96.35%,3.65%,0.00%,
03/22/14,Google,BA,Active,1.1,9.2,"2,333",341, $168.16 , $5.00 , $0.49 , $650.00 ,12,3,1,96.80%,3.20%,0.00%,
03/23/14,Google,BA,Active,1.1,9.2,"2,316",360, $114.52 , $4.65 , $0.32 , $650.00 ,33,4,2,94.45%,5.55%,0.00%,
03/24/14,Google,BA,Active,1.1,9.2,"3,517",566, $187.91 , $4.69 , $0.33 , $650.00 ,44,8,2,96.28%,3.72%,0.00%,
03/25/14,Google,BA,Active,1.1,9.2,"3,459",514, $205.63 , $5.12 , $0.40 , $650.00 ,26,1,1,96.81%,3.19%,0.00%,
03/26/14,Google,BA,Active,1.1,9.2,"3,307",542, $203.62 , $4.67 , $0.38 , $650.00 ,37,5,0,96.16%,3.84%,0.00%,
03/27/14,Google,BA,Active,1.1,9.2,"3,196",514, $110.96 , $5.15 , $0.22 , $650.00 ,22,2,0,95.37%,4.63%,0.00%,
03/28/14,Google,BA,Active,1.1,9.2,"3,116",461, $195.82 , $5.40 , $0.42 , $650.00 ,23,5,2,96.50%,3.50%,0.00%,
03/29/14,Google,BA,Active,1.1,9.1,"2,436",420, $192.75 , $4.86 , $0.46 , $650.00 ,38,6,3,96.82%,3.18%,0.00%,
03/30/14,Google,BA,Active,1.1,9.2,"2,406",419, $184.37 , $5.24 , $0.44 , $650.00 ,31,4,1,96.09%,3.91%,0.00%,
03/31/14,Google,BA,Active,1.1,9.2,"4,240",811, $220.61 , $4.13 , $0.27 , $650.00 ,45,4,2,97.00%,3.00%,0.00%,
01/01/14,Google,BK,Active,1.7,5.8,409,6, $8.20 , $11.02 , $1.37 , $225.00 ,0,0,0,77.02%,22.98%,0.00%,
01/02/14,Google,BK,Active,1.7,5.8,"1,374",24, $54.44 , $10.56 , $2.27 , $225.00 ,6,1,1,45.97%,17.87%,36.17%,
01/03/14,Google,BK,Active,1.8,5.7,"1,356",18, $52.00 , $8.63 , $2.89 , $225.00 ,0,0,0,52.25%,18.92%,28.82%,
01/04/14,Google,BK,Active,1.8,5.8,"1,407",12, $38.91 , $7.75 , $3.24 , $225.00 ,1,0,0,69.52%,28.26%,2.22%,
01/05/14,Google,BK,Active,1.7,5.8,"1,754",16, $44.08 , $9.43 , $2.76 , $225.00 ,1,0,0,71.77%,28.23%,0.00%,
01/06/14,Google,BK,Active,1.8,5.8,"1,694",23, $67.52 , $10.70 , $2.94 , $225.00 ,4,0,0,50.33%,21.54%,28.13%,
01/07/14,Google,BK,Active,1.7,5.8,"2,205",26, $69.43 , $12.54 , $2.67 , $225.00 ,1,1,1,69.71%,29.81%,0.47%,
01/08/14,Google,BK,Active,1.7,5.8,"2,026",23, $56.41 , $8.78 , $2.45 , $225.00 ,4,2,2,69.62%,30.03%,0.34%,
01/09/14,Google,BK,Active,1.7,5.8,"1,941",26, $75.24 , $17.52 , $2.89 , $225.00 ,0,0,0,70.74%,28.61%,0.66%,
01/10/14,Google,BK,Active,1.6,5.8,"1,989",19, $46.95 , $16.26 , $2.47 , $225.00 ,1,1,1,72.12%,27.88%,0.00%,
01/11/14,Google,BK,Active,1.7,5.8,"1,564",16, $78.15 , $18.75 , $4.88 , $225.00 ,0,0,0,74.12%,25.88%,0.00%,
01/12/14,Google,BK,Active,1.7,5.8,"1,794",26, $99.01 , $17.79 , $3.81 , $225.00 ,4,1,1,75.03%,24.97%,0.00%,
01/13/14,Google,BK,Active,1.6,5.7,"2,391",30, $91.04 , $35.72 , $3.03 , $225.00 ,10,2,2,74.00%,26.00%,0.00%,
01/14/14,Google,BK,Active,1.6,5.5,"2,587",22, $52.27 , $30.18 , $2.38 , $225.00 ,2,2,1,74.88%,25.12%,0.00%,
01/15/14,Google,BK,Active,1.6,5.5,"2,367",27, $148.61 , $39.26 , $5.50 , $225.00 ,5,0,0,75.43%,24.57%,0.00%,
01/16/14,Google,BK,Active,1.6,5.5,"2,803",39, $128.71 , $35.44 , $3.30 , $225.00 ,1,0,0,76.40%,23.60%,0.00%,
01/17/14,Google,BK,Active,1.6,5.5,"2,206",21, $80.49 , $41.62 , $3.83 , $225.00 ,0,0,0,76.57%,23.43%,0.00%,
01/18/14,Google,BK,Active,1.6,5.5,"1,593",19, $46.28 , $31.95 , $2.44 , $225.00 ,2,1,1,77.56%,22.44%,0.00%,
01/19/14,Google,BK,Active,1.6,5.6,"1,952",32, $179.47 , $35.78 , $5.61 , $225.00 ,6,1,0,78.87%,21.13%,0.00%,
01/20/14,Google,BK,Active,1.6,5.6,"2,343",20, $143.41 , $34.15 , $7.17 , $225.00 ,4,0,0,75.56%,24.44%,0.00%,
01/21/14,Google,BK,Active,1.6,5.6,"2,111",32, $91.39 , $28.74 , $2.86 , $225.00 ,2,0,0,75.18%,24.82%,0.00%,
01/22/14,Google,BK,Active,1.5,5.6,"2,054",27, $124.91 , $33.30 , $4.63 , $225.00 ,2,1,1,76.58%,23.42%,0.00%,
01/23/14,Google,BK,Active,1.6,5.6,"1,945",28, $118.90 , $29.70 , $4.25 , $225.00 ,4,0,0,76.13%,23.87%,0.00%,
01/24/14,Google,BK,Active,1.6,5.7,"1,730",22, $103.71 , $26.18 , $4.71 , $225.00 ,6,2,0,75.22%,24.78%,0.00%,
01/25/14,Google,BK,Active,1.6,5.6,"1,353",22, $109.57 , $28.63 , $4.98 , $225.00 ,14,1,0,76.40%,23.60%,0.00%,
01/26/14,Google,BK,Active,1.6,5.5,"1,040",20, $60.07 , $31.10 , $3.00 , $225.00 ,2,0,0,55.79%,17.01%,27.20%,
01/27/14,Google,BK,Active,1.7,5.4,"1,184",13, $25.52 , $12.45 , $1.96 , $225.00 ,3,1,0,50.88%,14.74%,34.38%,
01/28/14,Google,BK,Active,1.7,5.4,124,4, $28.46 , $23.25 , $7.12 , $225.00 ,0,0,0,< 10%,1.50%,> 90%,
01/29/14,Google,BK,Active,1.7,5.3,920,15, $24.27 , $27.67 , $1.62 , $225.00 ,1,0,0,43.29%,17.84%,38.87%,
01/30/14,Google,BK,Active,1.7,5.3,198,2, $24.23 , $40.00 , $12.12 , $225.00 ,0,0,0,12.50%,4.55%,82.95%,
01/31/14,Google,BK,Active,1.8,5.2,249,2, $23.62 , $30.50 , $11.81 , $225.00 ,0,0,0,20.51%,12.19%,67.30%,
02/01/14,Google,BK,Active,1.6,5.3,422,6, $29.81 , $31.83 , $4.97 , $225.00 ,1,0,0,30.92%,10.11%,58.97%,
02/02/14,Google,BK,Active,1.7,5.2,"1,229",13, $22.59 , $20.11 , $1.74 , $225.00 ,0,0,0,72.68%,22.53%,4.79%,
02/03/14,Google,BK,Active,1.8,5.5,659,11, $29.88 , $30.46 , $2.72 , $225.00 ,1,1,1,30.79%,12.71%,56.50%,
02/04/14,Google,BK,Active,1.8,5.3,710,14, $27.58 , $27.05 , $1.97 , $225.00 ,3,1,0,30.82%,15.58%,53.60%,
02/05/14,Google,BK,Active,1.7,5.2,"1,650",17, $29.64 , $17.70 , $1.74 , $225.00 ,2,1,0,55.56%,21.99%,22.46%,
02/06/14,Google,BK,Active,1.7,5.3,"1,033",10, $27.29 , $24.10 , $2.73 , $225.00 ,2,0,0,41.76%,14.90%,43.34%,
02/07/14,Google,BK,Active,1.7,5.3,787,8, $29.65 , $17.00 , $3.71 , $225.00 ,2,0,0,28.30%,15.10%,56.60%,
02/08/14,Google,BK,Active,1.7,5.3,"1,233",8, $41.88 , $17.75 , $5.24 , $225.00 ,4,0,0,50.22%,22.85%,26.92%,
02/09/14,Google,BK,Active,1.7,4.9,"1,407",18, $51.72 , $23.09 , $2.87 , $225.00 ,2,1,1,53.09%,28.79%,18.11%,
02/10/14,Google,BK,Active,1.7,5.1,"1,015",18, $66.31 , $31.83 , $3.68 , $225.00 ,0,0,0,26.58%,16.26%,57.16%,
02/11/14,Google,BK,Active,1.6,4.9,763,9, $59.17 , $36.67 , $6.57 , $225.00 ,1,0,0,20.94%,13.45%,65.61%,
02/12/14,Google,BK,Active,1.8,5.1,"1,694",21, $76.39 , $37.33 , $3.64 , $225.00 ,2,1,0,40.26%,36.93%,22.81%,
02/13/14,Google,BK,Active,1.7,5,961,15, $87.87 , $36.53 , $5.86 , $225.00 ,0,0,0,25.18%,20.73%,54.09%,
02/14/14,Google,BK,Active,1.7,4.9,"1,109",13, $83.66 , $29.74 , $6.44 , $225.00 ,0,0,0,32.60%,28.37%,39.04%,
02/15/14,Google,BK,Active,1.7,4.9,"1,654",22, $76.74 , $34.18 , $3.49 , $225.00 ,4,1,1,55.69%,38.01%,6.30%,
02/16/14,Google,BK,Active,1.7,5,970,13, $87.84 , $31.62 , $6.76 , $225.00 ,0,0,0,29.59%,22.39%,48.02%,
02/17/14,Google,BK,Active,1.7,4.9,"1,544",14, $81.08 , $33.21 , $5.79 , $225.00 ,2,0,0,33.46%,30.18%,36.36%,
02/18/14,Google,BK,Active,1.7,5,"1,004",14, $74.34 , $39.07 , $5.31 , $225.00 ,3,2,1,23.13%,18.36%,58.51%,
02/19/14,Google,BK,Active,1.7,4.1,"1,685",23, $70.09 , $34.65 , $3.05 , $225.00 ,6,2,2,43.04%,35.53%,21.43%,
02/20/14,Google,BK,Active,1.7,4.1,"2,322",28, $56.02 , $26.39 , $2.00 , $225.00 ,7,0,0,55.51%,42.27%,2.22%,
02/21/14,Google,BK,Active,1.7,4.1,"1,196",15, $82.10 , $39.00 , $5.47 , $225.00 ,6,2,1,33.35%,28.03%,38.62%,
02/22/14,Google,BK,Active,1.7,4.1,"1,390",22, $60.94 , $32.44 , $2.77 , $225.00 ,6,1,1,45.47%,24.73%,29.80%,
02/23/14,Google,BK,Active,1.7,5.1,864,8, $72.02 , $34.25 , $9.00 , $225.00 ,2,2,0,26.83%,14.60%,58.57%,
02/24/14,Google,BK,Active,1.7,5.1,"1,897",21, $82.67 , $39.91 , $3.94 , $225.00 ,1,1,0,41.35%,35.07%,23.58%,
02/25/14,Google,BK,Active,1.7,4.2,"1,603",19, $104.61 , $34.56 , $5.51 , $225.00 ,3,0,0,37.60%,31.90%,30.49%,
02/26/14,Google,BK,Active,1.7,4.1,"1,379",14, $107.92 , $36.71 , $7.71 , $225.00 ,0,0,0,32.52%,29.20%,38.28%,
02/27/14,Google,BK,Active,1.8,4.1,"1,992",18, $64.94 , $30.89 , $3.61 , $225.00 ,0,0,0,47.93%,39.49%,12.58%,
02/28/14,Google,BK,Active,1.7,4.1,"1,912",19, $86.16 , $43.26 , $4.53 , $225.00 ,2,0,0,49.11%,39.87%,11.02%,
03/01/14,Google,BK,Active,1.8,5.1,943,17, $98.80 , $29.19 , $5.81 , $225.00 ,1,1,1,29.68%,19.45%,50.87%,
03/02/14,Google,BK,Active,1.8,4.2,"2,050",18, $69.50 , $33.94 , $3.86 , $225.00 ,7,0,0,58.19%,38.60%,3.21%,
03/03/14,Google,BK,Active,1.8,4.1,"1,638",24, $104.49 , $30.33 , $4.35 , $225.00 ,5,2,2,37.72%,29.84%,32.44%,
03/04/14,Google,BK,Active,1.8,5.1,"1,968",20, $147.60 , $34.50 , $7.38 , $225.00 ,7,0,0,46.75%,40.33%,12.92%,
03/05/14,Google,BK,Active,1.7,5,"2,053",24, $127.93 , $36.37 , $5.33 , $225.00 ,2,1,1,47.86%,40.91%,11.24%,
03/06/14,Google,BK,Active,1.7,5,"1,505",21, $126.95 , $38.95 , $6.05 , $225.00 ,0,0,0,37.42%,32.97%,29.61%,
03/07/14,Google,BK,Active,1.8,4.1,"1,799",18, $105.17 , $33.06 , $5.84 , $225.00 ,8,1,0,50.63%,48.02%,1.35%,
03/08/14,Google,BK,Active,1.7,5,"1,496",15, $77.27 , $30.84 , $5.15 , $225.00 ,5,0,0,51.55%,43.45%,5.00%,
03/09/14,Google,BK,Active,1.7,5,"1,891",19, $113.00 , $38.21 , $5.95 , $225.00 ,3,0,0,59.08%,40.92%,0.00%,
03/10/14,Google,BK,Active,1.7,5.1,"2,004",26, $147.12 , $34.42 , $5.66 , $225.00 ,5,2,2,49.53%,42.76%,7.71%,
03/11/14,Google,BK,Active,1.7,5.1,"1,392",24, $132.64 , $39.38 , $5.53 , $225.00 ,3,1,0,38.15%,32.53%,29.32%,
03/12/14,Google,BK,Active,1.7,5.1,"1,941",21, $82.47 , $34.57 , $3.93 , $225.00 ,5,0,0,48.90%,46.71%,4.38%,
03/13/14,Google,BK,Active,1.7,4,"1,411",16, $106.01 , $29.56 , $6.63 , $225.00 ,1,0,0,50.45%,46.34%,3.22%,
03/14/14,Google,BK,Active,0,0,0,0, $-   , $-   , $-   , $225.00 ,0,0,0,N/A,N/A,N/A,
03/15/14,Google,BK,Active,0,0,0,0, $-   , $-   , $-   , $225.00 ,0,0,0,N/A,N/A,N/A,
03/16/14,Google,BK,Active,0,0,0,0, $-   , $-   , $-   , $225.00 ,0,0,0,N/A,N/A,N/A,
03/17/14,Google,BK,Active,0,0,0,0, $-   , $-   , $-   , $225.00 ,0,0,0,N/A,N/A,N/A,
03/18/14,Google,BK,Active,0,0,0,0, $-   , $-   , $-   , $225.00 ,0,0,0,N/A,N/A,N/A,
03/19/14,Google,BK,Active,1.7,5,591,7, $58.13 , $34.43 , $8.30 , $225.00 ,0,0,0,71.38%,28.62%,0.00%,
03/20/14,Google,BK,Active,1.7,4.9,"2,310",22, $104.45 , $36.25 , $4.75 , $225.00 ,3,0,0,73.68%,26.32%,0.00%,
03/21/14,Google,BK,Active,1.7,4,"1,986",25, $149.84 , $34.24 , $5.99 , $225.00 ,2,1,0,64.99%,26.77%,8.25%,
03/22/14,Google,BK,Active,1.7,4.7,"2,025",21, $120.89 , $31.48 , $5.76 , $225.00 ,1,0,0,70.93%,26.87%,2.21%,
03/23/14,Google,BK,Active,1.7,4.8,"1,960",24, $105.52 , $40.42 , $4.40 , $225.00 ,7,1,1,71.51%,26.27%,2.23%,
03/24/14,Google,BK,Active,1.7,4.9,"2,601",26, $169.40 , $38.42 , $6.52 , $225.00 ,2,1,0,76.86%,22.64%,0.50%,
03/25/14,Google,BK,Active,1.7,4.8,"2,468",36, $222.58 , $37.97 , $6.18 , $225.00 ,6,1,1,77.56%,22.44%,0.00%,
03/26/14,Google,BK,Active,1.7,5,"2,185",36, $248.50 , $37.72 , $6.90 , $225.00 ,2,1,0,66.82%,16.85%,16.33%,
03/27/14,Google,BK,Active,1.7,5,"2,144",25, $208.34 , $37.48 , $8.33 , $225.00 ,6,0,0,75.39%,23.28%,1.34%,
03/28/14,Google,BK,Active,1.7,5,"1,812",30, $237.02 , $42.80 , $7.90 , $225.00 ,1,1,1,62.27%,17.94%,19.79%,
03/29/14,Google,BK,Active,1.8,5,"1,600",20, $125.78 , $39.90 , $6.29 , $225.00 ,2,0,0,73.23%,26.04%,0.73%,
03/30/14,Google,BK,Active,1.7,5,"1,978",29, $165.16 , $43.59 , $5.70 , $225.00 ,2,1,1,75.12%,24.88%,0.00%,
03/31/14,Google,BK,Active,1.8,5.1,"2,683",30, $165.59 , $40.36 , $5.52 , $225.00 ,2,2,2,76.74%,23.26%,0.00%,
